record_id,classification,valid_structure,n_points,n_timestamps,invalid_timestamps,invalid_coordinates,negative_dt,zero_dt,positive_dt,same_time_different_position,consecutive_duplicate_position,long_gap_gt_30_source_seconds,edges_total,dt_computable,position_pairs_computable,time_span_raw,dt_min_raw,dt_max_raw,issues
5454,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,89,0,99,99,99,1193,1.0,21.0,
5455,CURRENT_RUN_REAL_DATA,True,104,104,0,0,0,1,102,1,38,0,103,103,103,1191,0.0,30.0,
5456,CURRENT_RUN_REAL_DATA,True,107,107,0,0,0,1,105,1,40,0,106,106,106,1192,0.0,29.0,
5457,CURRENT_RUN_REAL_DATA,True,122,122,0,0,0,2,119,2,1,0,121,121,121,1191,0.0,22.0,
5458,CURRENT_RUN_REAL_DATA,True,109,109,0,0,0,1,107,1,0,0,108,108,108,1190,0.0,23.0,
5459,CURRENT_RUN_REAL_DATA,True,106,106,0,0,0,0,105,0,30,0,105,105,105,1190,2.0,30.0,
5460,CURRENT_RUN_REAL_DATA,True,107,107,0,0,0,1,105,1,4,0,106,106,106,1197,0.0,20.0,
5461,CURRENT_RUN_REAL_DATA,True,106,106,0,0,0,1,104,1,20,1,105,105,105,1190,0.0,34.0,
5462,CURRENT_RUN_REAL_DATA,True,106,106,0,0,0,0,105,0,76,0,105,105,105,1190,1.0,21.0,
5463,CURRENT_RUN_REAL_DATA,True,106,106,0,0,0,1,104,1,44,1,105,105,105,1189,0.0,34.0,
5464,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,94,0,99,99,99,1191,5.0,21.0,
5465,CURRENT_RUN_REAL_DATA,True,104,104,0,0,0,0,103,0,32,0,103,103,103,1189,1.0,22.0,
5466,CURRENT_RUN_REAL_DATA,True,107,107,0,0,0,0,106,0,37,0,106,106,106,1193,1.0,24.0,
5467,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,98,0,99,99,99,1191,3.0,20.0,
5468,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,77,0,99,99,99,1191,2.0,20.0,
5469,CURRENT_RUN_REAL_DATA,True,116,116,0,0,0,1,114,1,9,0,115,115,115,1193,0.0,25.0,
5470,CURRENT_RUN_REAL_DATA,True,117,117,0,0,0,3,113,3,21,0,116,116,116,1190,0.0,29.0,
5471,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,89,0,99,99,99,1186,5.0,21.0,
5472,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,79,0,98,98,98,1186,1.0,21.0,
5473,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,87,0,97,97,97,1188,9.0,21.0,
5474,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,80,0,98,98,98,1191,9.0,21.0,
5475,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,55,0,98,98,98,1195,9.0,21.0,
5476,CURRENT_RUN_REAL_DATA,True,103,103,0,0,0,6,96,6,2,4,102,102,102,1191,0.0,52.0,
5477,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,78,0,97,97,97,1186,9.0,21.0,
5478,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,88,0,98,98,98,1188,7.0,28.0,
5479,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,89,0,99,99,99,1190,5.0,21.0,
5480,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,88,0,98,98,98,1187,1.0,22.0,
5481,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,92,0,99,99,99,1194,1.0,20.0,
5482,CURRENT_RUN_REAL_DATA,True,104,104,0,0,0,1,102,0,33,1,103,103,103,1190,0.0,79.0,
5483,CURRENT_RUN_REAL_DATA,True,111,111,0,0,0,1,109,1,39,0,110,110,110,1186,0.0,28.0,
5484,CURRENT_RUN_REAL_DATA,True,102,102,0,0,0,4,97,4,3,2,101,101,101,1186,0.0,116.0,
5485,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,88,0,98,98,98,1192,9.0,20.0,
5486,CURRENT_RUN_REAL_DATA,True,111,111,0,0,0,4,106,3,9,1,110,110,110,1187,0.0,80.0,
5487,CURRENT_RUN_REAL_DATA,True,92,92,0,0,0,2,89,2,2,3,91,91,91,1195,0.0,116.0,
5488,CURRENT_RUN_REAL_DATA,True,109,109,0,0,0,1,107,1,36,0,108,108,108,1179,0.0,26.0,
5489,CURRENT_RUN_REAL_DATA,True,102,102,0,0,0,0,101,0,5,0,101,101,101,1193,1.0,20.0,
5490,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,77,0,98,98,98,1188,6.0,23.0,
5491,CURRENT_RUN_REAL_DATA,True,106,106,0,0,0,1,104,1,31,0,105,105,105,1190,0.0,27.0,
5492,CURRENT_RUN_REAL_DATA,True,102,102,0,0,0,4,97,2,51,3,101,101,101,1193,0.0,59.0,
5493,CURRENT_RUN_REAL_DATA,True,101,101,0,0,0,0,100,0,77,0,100,100,100,1198,2.0,26.0,
5494,CURRENT_RUN_REAL_DATA,True,104,104,0,0,0,0,103,0,31,0,103,103,103,1186,1.0,21.0,
